litter,pig,reg,status,loglact
1,1,1,1,1.89537
1,1,2,1,1.97046
1,1,3,1,1.78255
1,2,1,1,2.24496
1,2,2,1,1.43413
1,2,3,1,2.16905
1,3,1,2,1.74222
1,3,2,2,1.84277
1,3,3,2,0.17479
1,4,1,2,2.12704
1,4,2,2,1.90954
1,4,3,2,1.49492
2,5,1,2,1.62897
2,5,2,2,2.26642
2,5,3,2,1.96763
2,6,1,2,2.01948
2,6,2,2,2.56443
2,6,3,2,1.16387
2,7,1,2,2.20681
2,7,2,2,2.55652
2,7,3,2,1.69358
2,8,1,2,1.09186
2,8,2,2,1.93091
2,8,3,2,.
3,9,1,1,2.36462
3,9,2,1,2.72261
3,9,3,1,2.80336
3,10,1,1,2.42834
3,10,2,1,2.64971
3,10,3,1,2.54788
3,11,1,2,1.58104
3,11,2,2,1.52606
3,11,3,2,1.65058
4,12,1,1,1.97162
4,12,2,1,2.11342
4,12,3,1,2.51278
4,13,1,1,2.06739
4,13,2,1,2.25631
4,13,3,1,1.79251
5,14,1,1,1.93274
5,14,2,1,1.82394
5,14,3,1,1.23629
5,15,1,2,2.07386
5,15,2,2,1.96713
5,15,3,2,0.47971
5,16,1,2,2.01307
5,16,2,2,1.85483
5,16,3,2,2.18274
5,17,1,2,2.86629
5,17,2,2,2.71414
5,17,3,2,1.60533
5,18,1,2,1.97865
5,18,2,2,1.93342
5,18,3,2,0.74943
5,19,1,2,2.89886
5,19,2,2,2.88606
5,19,3,2,2.20697
5,20,1,2,1.87733
5,20,2,2,1.70260
5,20,3,2,1.11077
