,69CV.5,DS.5,SP.3,3P.5,EKH.20,KB.9,EKH.15,KK.1,KK.8,3P.10,KB.4,3P.9,DS.9,C9CV.14,KK.5,3P.4,SP.6,EKH.16,KK.14,SP.4,SP.10,3P.8,69CV.8,69CV.10,KB.2,EKH.26,SP.20,3P.2,DS.1,3P.6,EKH.23,DS.6,KK.2,KK.7,KK.3,EKH.22,KK.10,69CV.2,KB.6,SP.12,SP.19,DS.3,SP.21,KK.11,EKH.21,SP.7,SP.16,3P.1,69CV.13,KB.3,KB.14,DS.2,EKH.25,KK.4,KK.9,SP.2,3P.3,SP.1,SP.15,SP.5,KB.1,KB.7,SP.14,3P.7,SP.11,69CV.9,KB.10,69CV.3,69CV.11,C9CV.15,DS.7,DS.10,DS.4,EKH.28,KK.13,SP.13,69CV.1,EKH.6,EKH.24,69CV.7,KB.8,DS.8,69CV.4,69CV.6,KB.5,KB.12,SP.9,KB.13,69CV.12,KB.11,KK.6,KK.12,EKH.27
SH206549.07FU_AF145321_refs,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH212843.07FU_GU721652_reps,0,0,28,0,0,0,3,0,81,0,0,0,10,0,0,0,6,9,0,0,8,3,0,0,3,7,0,15,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH190986.07FU_KJ130026_reps,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH221495.07FU_JX064536_reps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH190786.07FU_EF627451_reps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH201609.07FU_AY359233_reps,12,0,0,150,0,21,0,28,0,3,61,75,0,0,0,0,129,0,17,0,41,171,17,36,20,0,18,62,0,13,0,35,63,0,0,0,3,9,0,4,59,0,0,12,4,10,55,29,22,0,21,23,0,21,19,38,52,0,7005,46,11,0,28,0,45,6,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH213903.07FU_EF363150_reps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH200273.07FU_AF106529_reps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH278821.07FU_DQ185081_refs,9,0,68,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH182917.07FU_KF251268_reps,0,18,0,0,0,0,54,0,0,0,0,0,21,0,4,0,0,9,119,0,0,0,0,0,0,0,0,4,29,0,0,11,47,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH211147.07FU_AB220251_refs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
