assessor,treatm,colour,cons,taste,quality
1,55,4,5,4,5
1,55,6,4,5,5
1,54,5,4,3,4
1,54,6,5,5,5
1,53,5,4,4,4
1,53,4,4,6,5
1,52,5,6,3,5
1,52,3,5,5,4
1,51,6,6,6,6
1,51,6,5,6,6
1,50,3,6,5,5
1,50,5,5,4,4
1,49,5,4,6,5
1,49,5,6,6,5
1,48,6,6,6,6
1,48,6,6,6,6
1,47,5,5,4,5
1,47,6,3,4,4
1,46,6,4,5,5
1,46,5,5,6,5
2,55,5,5,5,5
2,55,5,5,4,5
2,54,5,4,5,5
2,54,6,6,6,6
2,53,4,4,3,4
2,53,4,6,4,5
2,52,5,4,6,5
2,52,5,5,2,4
2,51,7,5,3,4
2,51,5,5,5,5
2,50,5,3,2,3
2,50,4,5,2,4
2,49,6,4,4,4
2,49,6,5,6,6
2,48,6,6,6,6
2,48,6,6,6,6
2,47,6,5,6,6
2,47,5,4,3,4
2,46,6,5,6,6
2,46,5,4,4,4
3,55,5,5,6,6
3,55,5,4,5,5
3,54,5,9,7,7
3,54,6,6,6,6
3,53,6,2,5,5
3,53,5,5,6,5
3,52,6,8,8,8
3,52,5,4,4,4
3,51,5,2,8,5
3,51,6,4,6,5
3,50,4,5,3,4
3,50,5,5,6,5
3,49,6,3,3,3
3,49,6,5,6,6
3,48,6,5,5,5
3,48,6,6,6,6
3,47,7,4,7,7
3,47,5,4,5,5
3,46,7,8,5,6
3,46,5,6,6,6
4,55,6,6,6,6
4,55,6,5,6,6
4,54,5,5,5,5
4,54,5,5,5,5
4,53,5,5,4,4
4,53,5,5,5,5
4,52,6,6,6,6
4,52,6,5,5,5
4,51,6,5,7,6
4,51,5,5,5,5
4,50,6,6,5,5
4,50,6,3,4,4
4,49,5,5,4,4
4,49,5,4,4,4
4,48,6,7,7,7
4,48,6,5,4,5
4,47,5,5,5,5
4,47,7,7,7,7
4,46,6,5,7,6
4,46,5,5,5,5
5,55,4,4,4,4
5,55,4,4,3,3
5,54,5,5,6,5
5,54,5,5,3,3
5,53,4,4,4,4
5,53,4,6,4,5
5,52,6,5,5,5
5,52,6,6,6,6
5,51,5,4,5,5
5,51,6,5,5,5
5,50,3,3,3,3
5,50,4,3,3,3
5,49,3,4,2,3
5,49,4,4,4,4
5,48,6,5,6,6
5,48,6,7,6,6
5,47,4,5,3,3
5,47,5,1,4,3
5,46,5,4,5,5
5,46,5,4,4,4
6,55,4,5,6,5
6,55,4,4,5,4
6,54,4,3,5,4
6,54,6,6,6,6
6,53,4,6,6,5
6,53,4,6,6,5
6,52,5,5,6,5
6,52,5,4,6,5
6,51,5,4,5,5
6,51,5,6,6,6
6,50,5,4,6,5
6,50,5,4,6,5
6,49,4,4,6,4
6,49,4,5,6,5
6,48,6,6,7,7
6,48,6,6,6,6
6,47,5,5,6,5
6,47,4,4,6,5
6,46,6,5,6,6
6,46,5,4,6,5
7,55,6,5,5,
7,55,6,4,4,
7,54,6,5,4,
7,54,6,5,5,
7,53,6,5,3,
7,53,6,5,4,
7,52,5,4,3,
7,52,6,5,4,
7,51,5,5,5,
7,51,6,5,5,
7,50,6,4,4,
7,50,6,5,4,
7,49,6,4,4,
7,49,6,4,5,
7,48,6,6,7,
7,48,6,6,6,
7,47,6,6,5,
7,47,6,5,3,
7,46,6,4,4,
7,46,6,5,3,
8,55,3,5,3,3
8,55,4,4,4,4
8,54,4,4,4,4
8,54,5,5,5,5
8,53,4,2,3,3
8,53,3,3,3,3
8,52,5,5,6,6
